Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Pred Acc
[2_ 39_ 62_ 133_ 255_ 314_ 319_ 325_ 348_ 382_ 385_ 880_ 907],3.212,BPSO with ANN,13,0.4209,0.5287,0.4599,1.2784,0.9961,0.662
[39_ 162_ 252_ 296_ 325_ 470_ 561_ 697_ 940],2.4047,BPSO with ANN,9,0.4127,0.5146,0.4249,1.3191,1.0355,0.5775
[39_ 84_ 152_ 162_ 225_ 256_ 325_ 373_ 404_ 438_ 476_ 492],2.9962,BPSO with ANN,12,0.4153,0.5023,0.4428,1.2984,1.0025,0.6197
[39_ 95_ 104_ 125_ 185_ 215_ 281_ 325_ 350_ 392_ 568],2.8681,BPSO with ANN,11,0.312,0.4913,0.4171,1.3281,1.065,0.5493
[39_ 50_ 182_ 196_ 233_ 276_ 327_ 420_ 511_ 524_ 552_ 615],3.0603,BPSO with ANN,12,0.3413,0.4804,0.4592,1.2792,0.9759,0.6056
[39_ 171_ 276_ 325_ 426_ 455],1.4941,BPSO with ANN,6,0.3673,0.4777,0.4363,1.3059,1.0184,0.6056
[35_ 69_ 135_ 276_ 352_ 408_ 434_ 441_ 469_ 867_ 941],2.9145,BPSO with ANN,11,0.257,0.4566,0.3011,1.4542,1.194,0.493
[39_ 41_ 84_ 98_ 247_ 325_ 416_ 816],2.2564,BPSO with ANN,8,0.305,0.4463,0.3826,1.3668,1.1031,0.5352
[39_ 79_ 276_ 306_ 454_ 467],1.5214,BPSO with ANN,6,0.3378,0.4378,0.4437,1.2974,1.0011,0.5915
[39_ 249_ 271_ 325_ 403_ 448_ 498_ 516],2.2329,BPSO with ANN,8,0.3438,0.4163,0.4012,1.346,1.0402,0.5775
[39_ 134_ 169_ 229_ 276_ 410_ 518],2.031,BPSO with ANN,7,0.3463,0.3896,0.437,1.3052,1.0152,0.5915
[39_ 59_ 125_ 182_ 276_ 360_ 368_ 388_ 477_ 681_ 865_ 880],3.0611,BPSO with ANN,12,0.3627,0.3796,0.4078,1.3386,1.0335,0.5634
[39_ 114_ 208_ 216_ 276_ 357_ 373_ 414_ 422_ 451],2.6328,BPSO with ANN,10,0.3786,0.3541,0.4432,1.298,1.0219,0.6197
[39_ 76_ 104_ 235_ 270_ 272_ 276_ 369_ 386_ 397_ 430_ 431_ 548],3.2543,BPSO with ANN,13,0.3855,0.34,0.4122,1.3336,1.0568,0.6197
[39_ 54_ 57_ 69_ 84_ 214_ 226_ 246_ 270_ 388_ 428_ 462_ 471],3.2803,BPSO with ANN,13,0.3514,0.3356,0.3963,1.3516,1.0999,0.5352
[39_ 90_ 120_ 275_ 325_ 395_ 413_ 495_ 543_ 556],2.6641,BPSO with ANN,10,0.3387,0.3323,0.3866,1.3623,1.08,0.5775
[39_ 76_ 192_ 276_ 333_ 360_ 487_ 496_ 560_ 680_ 867],2.8759,BPSO with ANN,11,0.3345,0.3319,0.4203,1.3244,1.0398,0.5634
[39_ 45_ 111_ 153_ 238_ 276_ 304_ 357_ 540_ 559],2.6506,BPSO with ANN,10,0.3591,0.3296,0.4191,1.3257,1.0148,0.6056
[33_ 39_ 192_ 276_ 346_ 357_ 376_ 380_ 401_ 509_ 534_ 537_ 681],3.2931,BPSO with ANN,13,0.3395,0.3252,0.4172,1.3279,1.0358,0.5634
[39_ 132_ 162_ 275_ 276_ 282_ 334_ 363_ 494_ 869],2.6658,BPSO with ANN,10,0.3404,0.325,0.4164,1.3288,1.0368,0.6056
[39_ 45_ 60_ 68_ 102_ 254_ 305_ 325_ 494],2.4772,BPSO with ANN,9,0.3131,0.3231,0.3597,1.3919,1.1153,0.5915
[39_ 111_ 147_ 165_ 178_ 263_ 271_ 334_ 347_ 377_ 379_ 398_ 553_ 676],3.5286,BPSO with ANN,14,0.3051,0.3213,0.4239,1.3203,1.0378,0.5493
[44_ 121_ 178_ 199_ 261_ 282_ 320_ 325_ 336_ 359_ 405_ 515_ 690],3.404,BPSO with ANN,13,0.1829,0.3177,0.1753,1.5797,1.2971,0.4085
[67_ 84_ 111_ 171_ 325_ 346_ 386_ 412_ 444_ 494],2.758,BPSO with ANN,10,0.2127,0.3133,0.1867,1.5687,1.2696,0.4507
