Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Pred Acc
[2_ 16_ 36_ 58_ 103_ 233_ 276_ 306_ 338_ 421_ 473_ 497_ 511_ 530_ 550_ 554],3.6092,BPSO with MLR,16,0.5051,0.7084,0.6187,1.074,0.847,0.662
[5_ 58_ 66_ 85_ 197_ 240_ 241_ 301_ 401_ 518_ 555_ 560],2.8004,BPSO with MLR,12,0.5093,0.6622,0.5977,1.1033,0.9109,0.6338
[15_ 51_ 69_ 118_ 127_ 163_ 208_ 244_ 280_ 317_ 354_ 363_ 393_ 538_ 679],3.3971,BPSO with MLR,15,0.5373,0.6618,0.5313,1.1909,0.9816,0.5775
[97_ 98_ 227_ 376_ 505_ 539_ 816],1.8554,BPSO with MLR,7,0.4077,0.6569,0.4059,1.3407,1.0224,0.6338
[20_ 58_ 101_ 102_ 103_ 140_ 236_ 287_ 350_ 397_ 408_ 486_ 561_ 676_ 939],3.4034,BPSO with MLR,15,0.5345,0.6545,0.5446,1.1739,0.91,0.6338
[3_ 15_ 162_ 163_ 192_ 209_ 261_ 286_ 298_ 360_ 402_ 470_ 477_ 494_ 554_ 937],3.6812,BPSO with MLR,16,0.4582,0.6492,0.5035,1.2257,0.9575,0.6056
[36_ 58_ 70_ 79_ 98_ 120_ 164_ 434_ 438_ 448_ 477_ 490_ 494_ 496_ 677],3.4091,BPSO with MLR,15,0.5365,0.6402,0.5815,1.1253,0.9345,0.5915
[5_ 15_ 55_ 94_ 115_ 126_ 147_ 168_ 228_ 288_ 389_ 414_ 434_ 505_ 650],3.425,BPSO with MLR,15,0.5205,0.637,0.5988,1.1018,0.894,0.5775
[59_ 150_ 159_ 168_ 285_ 322_ 349_ 367_ 421_ 445_ 497_ 534_ 536_ 539_ 542_ 615_ 821_ 871],4.0932,BPSO with MLR,18,0.4707,0.6369,0.5312,1.191,0.9801,0.5634
[36_ 58_ 104_ 109_ 143_ 168_ 191_ 409_ 433_ 440_ 494_ 870],2.8363,BPSO with MLR,12,0.4825,0.6364,0.5659,1.146,0.9049,0.6056
[15_ 67_ 109_ 144_ 147_ 198_ 225_ 351_ 390_ 407_ 475],2.7047,BPSO with MLR,11,0.3914,0.6362,0.5335,1.188,0.9599,0.6197
[15_ 81_ 116_ 138_ 223_ 227_ 369_ 387_ 436_ 506_ 566_ 703],2.8163,BPSO with MLR,12,0.5071,0.634,0.5874,1.1173,0.8758,0.6197
[15_ 31_ 53_ 79_ 163_ 169_ 192_ 228_ 245_ 313_ 368_ 431_ 439],3.001,BPSO with MLR,13,0.5326,0.6339,0.5278,1.1952,0.9614,0.5775
[20_ 102_ 103_ 204_ 231_ 271_ 321_ 338_ 355_ 447_ 515_ 556_ 651_ 929],3.2644,BPSO with MLR,14,0.4691,0.6326,0.434,1.3087,0.9738,0.5915
[15_ 76_ 149_ 155_ 202_ 204_ 225_ 238_ 421_ 428_ 450_ 458_ 504_ 696_ 937],3.4622,BPSO with MLR,15,0.4809,0.6322,0.5285,1.1944,0.9764,0.5775
[58_ 97_ 98_ 224_ 227_ 248_ 332_ 414_ 466_ 478_ 498_ 538_ 648],3.0381,BPSO with MLR,13,0.4928,0.6295,0.5676,1.1438,0.9351,0.5775
[40_ 100_ 121_ 173_ 208_ 213_ 220_ 223_ 271_ 272_ 277_ 373_ 437_ 472_ 532_ 699],3.6453,BPSO with MLR,16,0.5109,0.6293,0.4752,1.2601,0.9711,0.6338
[40_ 100_ 103_ 107_ 181_ 408_ 414_ 418_ 430_ 447_ 458_ 678_ 696_ 869_ 871],3.4704,BPSO with MLR,15,0.4731,0.629,0.4543,1.2849,1.0356,0.5634
[5_ 20_ 97_ 105_ 107_ 120_ 227_ 235_ 443_ 469_ 513_ 691_ 907],3.0109,BPSO with MLR,13,0.5242,0.6289,0.5591,1.155,0.8984,0.5915
[15_ 100_ 126_ 158_ 164_ 180_ 192_ 242_ 254_ 299_ 349_ 414_ 436_ 446_ 448_ 464_ 939],3.8228,BPSO with MLR,17,0.5453,0.6288,0.5564,1.1585,0.9351,0.6056
[5_ 17_ 49_ 103_ 133_ 179_ 204_ 206_ 454_ 502_ 568],2.6552,BPSO with MLR,11,0.4574,0.6264,0.5116,1.2156,0.989,0.5775
[15_ 34_ 61_ 116_ 117_ 128_ 247_ 289_ 387_ 388_ 425_ 440_ 524_ 558_ 569_ 869],3.7,BPSO with MLR,16,0.4502,0.6249,0.5545,1.1611,0.9237,0.6479
[16_ 83_ 169_ 198_ 285_ 345_ 373_ 469_ 521],2.2924,BPSO with MLR,9,0.3959,0.6242,0.4051,1.3416,1.0456,0.6056
[58_ 74_ 104_ 147_ 212_ 278_ 315_ 366_ 420_ 464_ 478_ 555_ 693],3.1025,BPSO with MLR,13,0.4192,0.6241,0.5086,1.2194,1.0217,0.5915
[42_ 120_ 140_ 192_ 291_ 350_ 553_ 871],2.0279,BPSO with MLR,8,0.4677,0.6228,0.4854,1.2479,1.0205,0.5493
[15_ 70_ 79_ 111_ 141_ 149_ 163_ 252_ 278_ 348_ 414_ 422_ 558_ 561_ 677],3.3906,BPSO with MLR,15,0.5671,0.6224,0.6094,1.0872,0.8821,0.6761
[15_ 165_ 243_ 278_ 316_ 341_ 356_ 362_ 432_ 497],2.3731,BPSO with MLR,10,0.5472,0.6222,0.5199,1.2052,1.024,0.5634
[58_ 98_ 154_ 209_ 285_ 314_ 336_ 387_ 422_ 436_ 565_ 571],2.8954,BPSO with MLR,12,0.4204,0.6211,0.5187,1.2067,0.9552,0.5775
[58_ 74_ 110_ 207_ 325_ 340_ 375_ 436_ 474_ 534_ 816_ 852_ 872],3.0473,BPSO with MLR,13,0.4869,0.6209,0.5458,1.1723,0.9552,0.6056
[36_ 73_ 94_ 206_ 209_ 243_ 263_ 397_ 549_ 648],2.4834,BPSO with MLR,10,0.4176,0.6208,0.4563,1.2825,0.9867,0.662
[32_ 95_ 107_ 180_ 225_ 378_ 417_ 872],2.054,BPSO with MLR,8,0.4371,0.6207,0.4427,1.2985,1.0273,0.5493
[0_ 46_ 113_ 151_ 249_ 253_ 300_ 348_ 351_ 368_ 379_ 430_ 437_ 467_ 555_ 867],3.6611,BPSO with MLR,16,0.4985,0.6197,0.4279,1.3156,1.0196,0.6479
[46_ 54_ 127_ 149_ 214_ 283_ 313_ 368_ 373_ 411_ 436_ 437_ 465_ 479_ 543],3.4106,BPSO with MLR,15,0.5468,0.6193,0.536,1.1848,0.944,0.662
[117_ 139_ 141_ 179_ 192_ 244_ 393_ 407_ 409_ 496_ 514],2.7093,BPSO with MLR,11,0.3952,0.6192,0.4178,1.3273,1.0967,0.507
[15_ 16_ 41_ 76_ 100_ 149_ 159_ 253_ 360_ 417_ 421_ 444_ 469_ 631_ 826],3.3915,BPSO with MLR,15,0.568,0.6192,0.5929,1.1098,0.8938,0.5915
[5_ 15_ 228_ 243_ 251_ 353_ 404_ 519_ 558_ 868],2.4644,BPSO with MLR,10,0.442,0.6189,0.5185,1.207,0.9425,0.5775
[61_ 76_ 112_ 146_ 297_ 338_ 355_ 360_ 393_ 437_ 454_ 469_ 552_ 649_ 651],3.4807,BPSO with MLR,15,0.4669,0.6189,0.5237,1.2004,0.9481,0.6056
[5_ 15_ 96_ 126_ 184_ 221_ 302_ 338_ 420_ 453_ 475_ 523_ 525_ 531_ 548_ 869],3.6247,BPSO with MLR,16,0.5401,0.6189,0.5788,1.1289,0.8791,0.6479
[20_ 36_ 58_ 161_ 188_ 238_ 396_ 446_ 511_ 522_ 559_ 865],2.8436,BPSO with MLR,12,0.4839,0.6187,0.6005,1.0995,0.8619,0.6338
[16_ 61_ 116_ 129_ 255_ 305_ 308_ 368_ 522_ 525_ 536],2.6399,BPSO with MLR,11,0.48,0.6185,0.5498,1.1671,0.9005,0.6338
[3_ 58_ 80_ 103_ 106_ 138_ 192_ 203_ 279_ 325_ 434_ 467_ 516],3.0182,BPSO with MLR,13,0.522,0.6183,0.6066,1.091,0.8878,0.6056
[15_ 44_ 54_ 67_ 118_ 135_ 233_ 235_ 250_ 367_ 368_ 384_ 450_ 453_ 535_ 649],3.6592,BPSO with MLR,16,0.5016,0.618,0.4804,1.2538,0.9931,0.6197
[53_ 80_ 83_ 134_ 174_ 205_ 221_ 226_ 227_ 235_ 236_ 282_ 333_ 466_ 816_ 907],3.6324,BPSO with MLR,16,0.5323,0.6176,0.5777,1.1304,0.896,0.6761
[15_ 83_ 94_ 114_ 119_ 165_ 206_ 250_ 270_ 272_ 286_ 287_ 420_ 441_ 528_ 907],3.6519,BPSO with MLR,16,0.5102,0.6175,0.5557,1.1594,0.9365,0.5775
[54_ 109_ 117_ 375_ 445_ 478_ 505_ 511],2.0953,BPSO with MLR,8,0.3873,0.6174,0.4895,1.2429,0.9938,0.5915
[98_ 165_ 412_ 508_ 529_ 538_ 648_ 696_ 866_ 869_ 870],2.6591,BPSO with MLR,11,0.4581,0.6167,0.4368,1.3054,0.982,0.5915
[5_ 36_ 51_ 82_ 191_ 278_ 437_ 472_ 494_ 559],2.453,BPSO with MLR,10,0.4574,0.6159,0.5209,1.204,0.9704,0.6056
[117_ 136_ 149_ 166_ 178_ 192_ 261_ 289_ 326_ 328_ 381_ 403_ 513],3.038,BPSO with MLR,13,0.501,0.6152,0.4768,1.2582,0.9822,0.6197
[16_ 74_ 89_ 94_ 126_ 229_ 246_ 443_ 497_ 510_ 570_ 678],2.8571,BPSO with MLR,12,0.47,0.615,0.5883,1.1161,0.9094,0.6338
[15_ 149_ 184_ 185_ 197_ 263_ 285_ 326_ 365_ 404_ 432_ 547_ 558],3.0397,BPSO with MLR,13,0.4991,0.6149,0.5576,1.157,0.9153,0.6197
[0_ 5_ 15_ 46_ 124_ 180_ 192_ 214_ 221_ 236_ 240_ 295_ 301_ 330_ 338_ 534_ 535_ 690_ 702],4.1605,BPSO with MLR,19,0.637,0.6149,0.6331,1.0536,0.8444,0.6479
[54_ 161_ 197_ 201_ 340_ 371_ 401_ 425_ 530_ 929],2.5068,BPSO with MLR,10,0.3922,0.6139,0.4968,1.234,0.9649,0.5915
[15_ 40_ 173_ 192_ 204_ 236_ 360_ 375_ 425_ 559_ 563],2.5956,BPSO with MLR,11,0.5341,0.6137,0.5418,1.1774,0.9429,0.5775
[54_ 126_ 149_ 170_ 203_ 412_ 492_ 695_ 869],2.1716,BPSO with MLR,9,0.5463,0.6135,0.5152,1.2112,0.9639,0.5915
[16_ 31_ 74_ 87_ 127_ 174_ 251_ 280_ 282_ 287_ 296_ 307_ 325_ 338_ 347_ 402_ 453_ 490],4.0668,BPSO with MLR,18,0.5148,0.6131,0.5654,1.1467,0.9166,0.6479
[15_ 100_ 105_ 129_ 150_ 192_ 272_ 329_ 349_ 520_ 521_ 816],2.8319,BPSO with MLR,12,0.5009,0.6129,0.5389,1.1811,0.9597,0.5775
[47_ 137_ 208_ 215_ 285_ 299_ 347_ 449_ 477_ 493_ 515_ 699_ 816],3.0755,BPSO with MLR,13,0.4584,0.6125,0.5104,1.2171,0.9567,0.5775
[32_ 45_ 61_ 83_ 114_ 157_ 201_ 205_ 368_ 522_ 694_ 940],2.8664,BPSO with MLR,12,0.4604,0.6124,0.4379,1.3042,1.0006,0.5634
[15_ 184_ 233_ 282_ 350_ 518_ 534_ 542_ 680_ 907],2.437,BPSO with MLR,10,0.4792,0.6111,0.5117,1.2155,1.0038,0.5634
[43_ 114_ 129_ 179_ 222_ 238_ 277_ 330_ 349_ 469_ 505_ 615_ 941],3.1356,BPSO with MLR,13,0.3858,0.611,0.4462,1.2944,1.0354,0.5634
[16_ 97_ 98_ 118_ 337_ 364_ 492_ 555],2.0207,BPSO with MLR,8,0.483,0.6106,0.5162,1.2099,0.9996,0.6197
[58_ 70_ 115_ 190_ 280_ 289_ 325_ 327_ 412_ 475_ 558_ 678],2.8485,BPSO with MLR,12,0.4827,0.6105,0.5653,1.1468,0.9705,0.5775
[5_ 15_ 46_ 107_ 127_ 193_ 305_ 311_ 326_ 359_ 371_ 393_ 502_ 541_ 542_ 691],3.6222,BPSO with MLR,16,0.5477,0.6105,0.5866,1.1184,0.8577,0.6479
[61_ 97_ 151_ 209_ 236_ 260_ 386_ 446_ 478_ 907],2.4917,BPSO with MLR,10,0.4134,0.6099,0.4605,1.2777,1.0326,0.5634
