Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Pred Acc
[6_ 104_ 155_ 176_ 183_ 232_ 377_ 444_ 907],2.236,BPSO with SVM,9,0.5241,0.6235,0.5026,1.2715,1.03,0.6056
[104_ 124_ 186_ 445_ 465_ 513_ 907],1.8507,BPSO with SVM,7,0.5063,0.5909,0.5571,1.2812,1.0307,0.5493
[16_ 77_ 173_ 285_ 378_ 444_ 459_ 564_ 880],2.2529,BPSO with SVM,9,0.5036,0.5863,0.5001,1.2677,1.0356,0.507
[38_ 66_ 104_ 403_ 406_ 463_ 522_ 648],2.1607,BPSO with SVM,8,0.5321,0.5843,0.4895,1.4384,1.0888,0.5775
[65_ 104_ 228_ 234_ 476_ 648],1.4531,BPSO with SVM,6,0.5163,0.5832,0.4065,1.4404,1.0899,0.5915
[35_ 104_ 302_ 337_ 404_ 461_ 648],1.9471,BPSO with SVM,7,0.4823,0.5801,0.3256,1.4284,1.0803,0.5775
[31_ 38_ 70_ 101_ 169_ 245_ 276_ 377_ 380_ 469_ 866_ 872_ 908],3.1088,BPSO with SVM,13,0.4385,0.5766,0.4705,1.2657,0.9985,0.6479
[99_ 197_ 248_ 317_ 363_ 403_ 432_ 491_ 518],2.3084,BPSO with SVM,9,0.4022,0.576,0.4721,1.392,1.1369,0.507
[42_ 45_ 50_ 182_ 196_ 249_ 261_ 275_ 276_ 288_ 376_ 441_ 569_ 872],3.3151,BPSO with SVM,14,0.4411,0.5753,0.5183,1.2072,0.9232,0.6338
[176_ 203_ 211_ 285_ 317_ 408_ 432_ 459_ 462_ 470_ 481_ 816],2.9571,BPSO with SVM,12,0.3689,0.5753,0.3617,1.3897,1.1127,0.5211
[104_ 198_ 310_ 385_ 393_ 529_ 567_ 648],2.1233,BPSO with SVM,8,0.3753,0.5736,0.3589,1.3928,1.07,0.5775
[45_ 103_ 106_ 163_ 178_ 183_ 187_ 188_ 276_ 302_ 351_ 477_ 511_ 521_ 530_ 549_ 872_ 940],4.1031,BPSO with SVM,18,0.4971,0.5729,0.5639,1.1487,0.8987,0.6197
[205_ 251_ 391_ 419_ 422_ 453_ 548_ 564_ 907],2.2772,BPSO with SVM,9,0.4445,0.5703,0.4743,1.2612,1.0334,0.5352
[20_ 56_ 93_ 99_ 172_ 242_ 246_ 251_ 317_ 432_ 492_ 544],2.9364,BPSO with SVM,12,0.3983,0.5698,0.3633,1.388,1.1312,0.493
[104_ 278_ 406_ 423_ 475_ 495_ 649_ 650],2.1141,BPSO with SVM,8,0.3896,0.5694,0.354,1.3981,1.0499,0.5915
[44_ 50_ 164_ 377_ 409_ 467_ 478_ 485_ 567_ 907],2.5054,BPSO with SVM,10,0.4194,0.5683,0.4393,1.3025,1.0392,0.5915
[16_ 81_ 104_ 197_ 383_ 396_ 444_ 482_ 495_ 497_ 533],2.6814,BPSO with SVM,11,0.459,0.5667,0.4622,1.2757,0.9989,0.6056
[66_ 114_ 214_ 218_ 276_ 280_ 307_ 356_ 425_ 515_ 691_ 872_ 906],3.0796,BPSO with SVM,13,0.4796,0.5666,0.5457,1.1725,0.9381,0.6338
[20_ 135_ 168_ 229_ 235_ 276_ 320_ 367_ 380_ 395_ 410_ 470_ 517_ 567_ 872],3.5003,BPSO with SVM,15,0.4748,0.565,0.5446,1.1738,0.9366,0.6056
[95_ 144_ 242_ 287_ 288_ 317_ 354_ 432_ 484],2.3284,BPSO with SVM,9,0.3829,0.5645,0.3428,1.4102,1.1558,0.4648
[65_ 72_ 142_ 204_ 211_ 276_ 289_ 355_ 386_ 416_ 574_ 872],2.8788,BPSO with SVM,12,0.4726,0.5642,0.5474,1.1703,0.9305,0.6338
[52_ 76_ 90_ 115_ 219_ 276_ 289_ 446_ 872],2.251,BPSO with SVM,9,0.4801,0.564,0.5504,1.1663,0.9296,0.6338
[48_ 56_ 59_ 104_ 145_ 151_ 152_ 153_ 240_ 248_ 276_ 284_ 287_ 301_ 416_ 468_ 514_ 574_ 872_ 906],4.5468,BPSO with SVM,20,0.4732,0.5638,0.5471,1.1707,0.9347,0.6338
[58_ 112_ 177_ 187_ 323_ 378_ 404_ 493_ 544_ 816_ 852],2.7759,BPSO with SVM,11,0.341,0.5635,0.4216,1.3229,1.0329,0.5775
[245_ 317_ 343_ 422_ 432_ 435_ 527_ 539],2.0557,BPSO with SVM,8,0.4665,0.5631,0.4635,1.2741,1.0256,0.5915
[144_ 276_ 305_ 320_ 342_ 360_ 375_ 872],2.0475,BPSO with SVM,8,0.4766,0.563,0.5507,1.166,0.929,0.6479
[43_ 98_ 114_ 119_ 149_ 276_ 322_ 872_ 907],2.2552,BPSO with SVM,9,0.4758,0.5626,0.549,1.1682,0.9377,0.6056
[66_ 135_ 216_ 218_ 276_ 292_ 353_ 357_ 366_ 416_ 441_ 463_ 549_ 649_ 872],3.5047,BPSO with SVM,15,0.4711,0.5624,0.548,1.1694,0.931,0.6197
[80_ 93_ 276_ 278_ 420_ 426_ 445_ 461_ 464_ 676_ 872],2.6697,BPSO with SVM,11,0.4759,0.562,0.545,1.1733,0.9387,0.6479
[3_ 99_ 167_ 239_ 276_ 292_ 378_ 382_ 396_ 426_ 429_ 447_ 467_ 650_ 872],3.4939,BPSO with SVM,15,0.4846,0.5611,0.5428,1.1762,0.9325,0.5915
[43_ 102_ 104_ 218_ 276_ 364_ 400_ 462_ 464_ 471_ 560_ 569_ 872],3.0891,BPSO with SVM,13,0.4715,0.5605,0.5467,1.1712,0.9322,0.6338
[46_ 98_ 149_ 216_ 276_ 351_ 377_ 401_ 414_ 559_ 562_ 872],2.8796,BPSO with SVM,12,0.4739,0.5602,0.5482,1.1692,0.9311,0.6197
[101_ 113_ 210_ 317_ 432_ 444_ 497_ 866],2.1533,BPSO with SVM,8,0.3435,0.56,0.3125,1.4423,1.1531,0.5352
[111_ 128_ 205_ 276_ 287_ 327_ 502_ 530_ 551_ 872],2.4702,BPSO with SVM,10,0.4679,0.5595,0.5456,1.1725,0.9349,0.6338
