Descriptor ID,Fitness,Algorithm,Dimention,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Accuracy
[43_ 79_ 100_ 117_ 277_ 283_ 503_ 525_ 631_ 648],2.393,DE_BPSO with ANN,10,0.5042,0.6587,0.5361,1.1847,0.9952,0.5915
[5_ 15_ 43_ 55_ 129_ 155_ 208_ 213_ 228_ 280_ 285_ 320_ 375_ 454_ 467_ 474_ 488],3.7708,DE_BPSO with ANN,17,0.5853,0.656,0.6238,1.0669,0.866,0.6338
[55_ 74_ 85_ 93_ 117_ 122_ 147_ 196_ 204_ 242_ 322_ 325_ 362_ 475_ 479_ 509_ 570_ 826_ 871],4.2607,DE_BPSO with ANN,19,0.5093,0.6541,0.4745,1.261,1.0115,0.5775
[56_ 58_ 71_ 98_ 115_ 147_ 223_ 244_ 289_ 291_ 397_ 403_ 407_ 872],3.1936,DE_BPSO with ANN,14,0.5441,0.6424,0.5559,1.1592,0.9487,0.5915
[3_ 16_ 69_ 144_ 149_ 195_ 240_ 251_ 267_ 361_ 437_ 468_ 475_ 555_ 650_ 867],3.6362,DE_BPSO with ANN,16,0.5138,0.642,0.5641,1.1484,0.9022,0.662
[33_ 46_ 107_ 121_ 179_ 204_ 269_ 301_ 368_ 400_ 455_ 464_ 490_ 534_ 560_ 866_ 906_ 940],4.0446,DE_BPSO with ANN,18,0.5243,0.639,0.5138,1.2129,0.9669,0.5915
[65_ 97_ 98_ 121_ 224_ 290_ 446_ 497_ 631],2.2824,DE_BPSO with ANN,9,0.5268,0.6358,0.3029,1.4524,1.1259,0.507
[44_ 133_ 181_ 240_ 242_ 399_ 486_ 503_ 555_ 696_ 907],2.653,DE_BPSO with ANN,11,0.455,0.6352,0.4129,1.3329,1.0801,0.4789
[100_ 126_ 149_ 196_ 229_ 243_ 278_ 319_ 329_ 363_ 368_ 445_ 494_ 574],3.2307,DE_BPSO with ANN,14,0.5067,0.6348,0.476,1.2591,0.9641,0.6197
[97_ 98_ 170_ 178_ 198_ 275_ 278_ 331_ 345_ 519_ 547_ 549],2.8874,DE_BPSO with ANN,12,0.423,0.6338,0.5164,1.2097,0.972,0.5915
[15_ 79_ 95_ 103_ 124_ 164_ 184_ 392_ 394_ 420_ 445_ 447_ 453_ 458],3.2596,DE_BPSO with ANN,14,0.4744,0.6331,0.526,1.1976,0.9695,0.5211
[15_ 54_ 107_ 120_ 149_ 213_ 229_ 243_ 301_ 329_ 331_ 347_ 371_ 421_ 422],3.407,DE_BPSO with ANN,15,0.5429,0.633,0.5578,1.1566,0.9678,0.5634
[15_ 112_ 116_ 184_ 368_ 383_ 415_ 494_ 651_ 872],2.4401,DE_BPSO with ANN,10,0.4646,0.6308,0.5078,1.2204,0.9746,0.5493
[2_ 54_ 109_ 133_ 235_ 338_ 396_ 472_ 648_ 869],2.4978,DE_BPSO with ANN,10,0.3945,0.6302,0.5385,1.1817,0.9012,0.6761
[4_ 16_ 32_ 33_ 59_ 98_ 106_ 122_ 319_ 364_ 425_ 495_ 504_ 536_ 549_ 677],3.6182,DE_BPSO with ANN,16,0.5413,0.6291,0.6305,1.0574,0.826,0.662
[36_ 97_ 117_ 155_ 192_ 306_ 383_ 387_ 461_ 483_ 560_ 566_ 631_ 694],3.2949,DE_BPSO with ANN,14,0.436,0.6271,0.4925,1.2392,1.0092,0.5775
[15_ 42_ 43_ 100_ 208_ 222_ 241_ 284_ 330_ 353_ 435_ 472_ 530],3.0115,DE_BPSO with ANN,13,0.5246,0.6271,0.55,1.1669,0.9415,0.6338
[15_ 55_ 59_ 130_ 174_ 192_ 217_ 340_ 371_ 408_ 417_ 517_ 928],2.9781,DE_BPSO with ANN,13,0.5621,0.627,0.5376,1.1828,0.9693,0.5775
[54_ 77_ 79_ 100_ 139_ 149_ 175_ 240_ 433_ 445_ 452_ 474_ 493_ 494_ 503_ 540],3.6567,DE_BPSO with ANN,16,0.5004,0.6252,0.4998,1.2302,0.9745,0.6056
[36_ 45_ 58_ 71_ 138_ 277_ 323_ 355_ 393_ 452_ 555_ 697],2.8876,DE_BPSO with ANN,12,0.4295,0.6219,0.5579,1.1565,0.9484,0.5915
[99_ 118_ 194_ 276_ 340_ 351_ 384_ 414_ 429_ 480_ 498_ 872_ 906],3.0456,DE_BPSO with ANN,13,0.4886,0.6215,0.4856,1.2476,1.0067,0.6056
[58_ 61_ 69_ 102_ 180_ 214_ 248_ 371_ 399_ 425_ 441_ 534_ 558_ 651_ 941],3.4497,DE_BPSO with ANN,15,0.5019,0.6207,0.5436,1.1751,0.9205,0.6479
[16_ 81_ 103_ 124_ 130_ 155_ 280_ 368_ 369_ 399_ 407],2.67,DE_BPSO with ANN,11,0.4429,0.6203,0.4883,1.2443,0.9683,0.6056
[74_ 149_ 160_ 161_ 167_ 184_ 204_ 347_ 372_ 379_ 400_ 403_ 488_ 512_ 517_ 528_ 539_ 569_ 819],4.1722,DE_BPSO with ANN,19,0.6221,0.6198,0.5095,1.2183,1.0009,0.5211
[61_ 83_ 95_ 135_ 366_ 385_ 403_ 425_ 445_ 852],2.4982,DE_BPSO with ANN,10,0.4002,0.619,0.4902,1.242,0.9911,0.5634
[97_ 98_ 114_ 118_ 285_ 441_ 694],1.8689,DE_BPSO with ANN,7,0.4118,0.6184,0.4101,1.336,1.0875,0.5775
[55_ 100_ 169_ 244_ 408_ 447_ 502_ 536_ 574_ 816_ 821],2.7084,DE_BPSO with ANN,11,0.5268,0.6179,0.4447,1.2962,1.0185,0.5634
[5_ 36_ 50_ 54_ 81_ 104_ 200_ 284_ 309_ 392_ 429_ 441_ 464_ 567_ 692],3.4614,DE_BPSO with ANN,15,0.4901,0.6178,0.4937,1.2378,0.9386,0.5915
[83_ 117_ 151_ 272_ 296_ 327_ 373_ 420_ 466_ 471_ 503_ 871_ 929],3.0958,DE_BPSO with ANN,13,0.431,0.6177,0.5366,1.1841,0.9846,0.5775
[90_ 106_ 117_ 176_ 229_ 283_ 299_ 301_ 362_ 428_ 450_ 509_ 514_ 515_ 532_ 574_ 615_ 694],4.1058,DE_BPSO with ANN,18,0.4676,0.6174,0.5274,1.1957,0.8972,0.6338
[15_ 64_ 75_ 168_ 170_ 202_ 221_ 242_ 255_ 287_ 316_ 408_ 431_ 434_ 447_ 498_ 515_ 649],3.9944,DE_BPSO with ANN,18,0.5923,0.6162,0.4806,1.2536,1.0105,0.5352
[54_ 73_ 130_ 160_ 228_ 278_ 279_ 315_ 332_ 367_ 431_ 475_ 494_ 546],3.2986,DE_BPSO with ANN,14,0.4379,0.6158,0.538,1.1823,0.9334,0.6338
[4_ 15_ 144_ 207_ 208_ 233_ 320_ 331_ 369_ 438_ 476],2.6479,DE_BPSO with ANN,11,0.472,0.6158,0.474,1.2616,1.0143,0.5493
[1_ 58_ 136_ 197_ 224_ 227_ 248_ 289_ 352_ 421_ 480_ 555_ 563],3.0575,DE_BPSO with ANN,13,0.4782,0.6152,0.5852,1.1203,0.9453,0.5915
[17_ 54_ 126_ 168_ 253_ 355_ 472_ 483_ 497],2.2574,DE_BPSO with ANN,9,0.4443,0.615,0.5234,1.2008,0.9723,0.5915
[36_ 54_ 113_ 132_ 196_ 314_ 336_ 346_ 392_ 393_ 475_ 562_ 615_ 819],3.2827,DE_BPSO with ANN,14,0.4579,0.6143,0.5268,1.1965,0.9265,0.6056
[15_ 137_ 142_ 192_ 207_ 225_ 541_ 676_ 699],2.196,DE_BPSO with ANN,9,0.5179,0.6142,0.5759,1.1328,0.9142,0.6479
[0_ 36_ 61_ 98_ 178_ 289_ 306_ 550_ 615_ 695_ 907],2.7038,DE_BPSO with ANN,11,0.4053,0.6134,0.4318,1.3112,1.0094,0.5493
[36_ 65_ 79_ 111_ 129_ 144_ 168_ 200_ 285_ 341_ 342_ 347_ 481_ 500_ 505_ 703],3.6737,DE_BPSO with ANN,16,0.4877,0.6133,0.5639,1.1487,0.9387,0.6056
[61_ 202_ 368_ 390_ 422_ 470_ 488_ 536],2.0705,DE_BPSO with ANN,8,0.4209,0.6131,0.4937,1.2377,0.9696,0.6338
[15_ 100_ 103_ 109_ 186_ 189_ 192_ 318_ 378_ 436_ 476_ 500_ 631],3.0791,DE_BPSO with ANN,13,0.4538,0.6129,0.4688,1.2677,1.0066,0.5915
[68_ 89_ 126_ 133_ 135_ 149_ 168_ 186_ 215_ 281_ 393_ 452_ 530_ 537_ 937],3.4677,DE_BPSO with ANN,15,0.4856,0.6128,0.4612,1.2768,1.0259,0.5915
[58_ 75_ 107_ 117_ 134_ 148_ 276_ 297_ 329_ 336_ 346_ 405_ 526_ 527_ 907],3.4287,DE_BPSO with ANN,15,0.5304,0.6127,0.6129,1.0822,0.8619,0.6901
[58_ 111_ 134_ 146_ 149_ 195_ 197_ 240_ 352_ 430_ 504_ 650_ 938],3.0218,DE_BPSO with ANN,13,0.5211,0.6126,0.5717,1.1383,0.8866,0.5634
[61_ 87_ 109_ 151_ 161_ 309_ 346_ 349_ 366_ 368_ 431_ 433_ 514_ 543_ 941],3.4841,DE_BPSO with ANN,15,0.4669,0.612,0.5397,1.1801,0.9473,0.6056
[15_ 103_ 129_ 133_ 135_ 192_ 295_ 411_ 445_ 493_ 503_ 514_ 880],3.0511,DE_BPSO with ANN,13,0.4877,0.6118,0.5025,1.2269,0.9575,0.6197
[54_ 79_ 117_ 137_ 149_ 162_ 307_ 328_ 341_ 423_ 470_ 493_ 511_ 513_ 538_ 558],3.6657,DE_BPSO with ANN,16,0.4979,0.6116,0.5567,1.1581,0.9172,0.6761
[48_ 103_ 112_ 132_ 168_ 231_ 281_ 296_ 311_ 355_ 421_ 494_ 527_ 536_ 540],3.4781,DE_BPSO with ANN,15,0.4742,0.6115,0.4683,1.2684,1.0073,0.5352
[61_ 85_ 168_ 220_ 306_ 352_ 372_ 492_ 907],2.2757,DE_BPSO with ANN,9,0.4237,0.6113,0.5731,1.1365,0.916,0.6479
[58_ 84_ 93_ 107_ 240_ 272_ 315_ 371_ 420_ 532_ 535_ 695],2.8624,DE_BPSO with ANN,12,0.4659,0.6111,0.6226,1.0686,0.8627,0.6197
[15_ 122_ 166_ 174_ 211_ 242_ 251_ 387_ 497_ 545],2.4422,DE_BPSO with ANN,10,0.4731,0.6109,0.5518,1.1645,0.9586,0.5634
