Descriptor ID,Fitness,Algorithm,Dimention,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Accuracy
[5_ 15_ 34_ 89_ 160_ 169_ 208_ 224_ 253_ 277_ 289_ 343_ 372_ 387_ 390_ 399_ 423_ 428_ 476_ 500_ 541],4.574,DE_BPSO with MLR,21,0.6149,0.6576,0.6398,1.044,0.8103,0.662
[15_ 52_ 80_ 118_ 161_ 192_ 272_ 393_ 402_ 427_ 440_ 452_ 479_ 553_ 939],3.4117,DE_BPSO with MLR,15,0.5236,0.6576,0.624,1.0666,0.8515,0.6338
[5_ 54_ 100_ 147_ 156_ 167_ 173_ 192_ 198_ 227_ 249_ 279_ 370_ 371_ 388_ 425_ 479_ 495_ 542_ 561_ 631_ 648_ 678_ 816],5.2331,DE_BPSO with MLR,24,0.5885,0.6488,0.5919,1.1111,0.9005,0.6479
[53_ 54_ 98_ 185_ 200_ 213_ 222_ 285_ 319_ 364_ 420_ 472_ 477_ 486_ 549_ 557_ 692_ 937_ 938],4.2987,DE_BPSO with MLR,19,0.4699,0.6445,0.6006,1.3022,1.0286,0.5352
[5_ 15_ 66_ 160_ 208_ 296_ 336_ 424],1.9733,DE_BPSO with MLR,8,0.5212,0.6424,0.4883,1.2443,1.0207,0.5775
[36_ 58_ 62_ 65_ 77_ 79_ 160_ 165_ 168_ 241_ 396_ 451_ 821],3.0008,DE_BPSO with MLR,13,0.5281,0.6422,0.5001,1.2299,0.99,0.6338
[5_ 16_ 109_ 116_ 135_ 141_ 192_ 218_ 234_ 241_ 300_ 346_ 347_ 368_ 381_ 500_ 507_ 514_ 550],4.2125,DE_BPSO with MLR,19,0.5666,0.6419,0.5617,1.1516,0.9101,0.6901
[5_ 15_ 58_ 93_ 112_ 172_ 285_ 415_ 436_ 447_ 495_ 501_ 515_ 907],3.1471,DE_BPSO with MLR,14,0.5953,0.6412,0.5762,1.1324,0.9236,0.6056
[50_ 54_ 87_ 111_ 283_ 309_ 387_ 435_ 438_ 867],2.4648,DE_BPSO with MLR,10,0.4325,0.6351,0.4783,1.2564,1.0132,0.6056
[54_ 76_ 137_ 281_ 425_ 431_ 441_ 448_ 469_ 631_ 648],2.6236,DE_BPSO with MLR,11,0.491,0.633,0.615,1.0792,0.8729,0.6761
[15_ 112_ 115_ 208_ 234_ 278_ 337_ 350_ 428_ 478_ 509_ 515_ 523_ 534_ 563_ 567_ 940],3.8694,DE_BPSO with MLR,17,0.4907,0.6329,0.4969,1.2338,1.0112,0.5493
[103_ 110_ 121_ 125_ 179_ 271_ 278_ 319_ 349_ 361_ 364_ 398_ 407_ 417_ 431_ 495_ 555],3.9061,DE_BPSO with MLR,17,0.6006,0.6315,0.4652,1.2721,1.0487,0.4789
[48_ 70_ 100_ 163_ 294_ 310_ 338_ 397_ 498_ 561_ 651_ 929],2.8691,DE_BPSO with MLR,12,0.6488,0.6309,0.5984,1.3535,1.03,0.6197
[50_ 64_ 97_ 98_ 201_ 237_ 359_ 523_ 541_ 676],2.5014,DE_BPSO with MLR,10,0.5212,0.6305,0.6006,1.3728,1.0934,0.507
[45_ 54_ 126_ 138_ 175_ 390_ 411_ 441_ 536_ 558_ 690_ 696_ 940],3.0517,DE_BPSO with MLR,13,0.4767,0.6299,0.5984,1.2594,0.9997,0.5634
[61_ 63_ 78_ 179_ 317_ 392_ 420_ 437_ 501_ 506_ 615_ 867],2.9145,DE_BPSO with MLR,12,0.5212,0.6298,0.3836,1.3657,1.0956,0.5211
[15_ 48_ 120_ 309_ 331_ 449_ 514_ 534_ 678_ 702_ 826],2.6196,DE_BPSO with MLR,11,0.4982,0.6285,0.5277,1.1954,1.0046,0.5352
[15_ 53_ 79_ 151_ 157_ 208_ 213_ 282_ 388_ 409_ 516_ 567_ 570],2.9729,DE_BPSO with MLR,13,0.567,0.6284,0.5833,1.1228,0.9131,0.6056
[31_ 46_ 136_ 149_ 150_ 165_ 184_ 204_ 215_ 225_ 532_ 543_ 650_ 821],3.2117,DE_BPSO with MLR,14,0.5324,0.6276,0.5178,1.2079,0.9674,0.5775
[15_ 84_ 136_ 154_ 175_ 255_ 325_ 383_ 412_ 558_ 679],2.664,DE_BPSO with MLR,11,0.4469,0.6262,0.551,1.1656,0.9136,0.6761
[15_ 40_ 139_ 205_ 208_ 225_ 239_ 252_ 414_ 473_ 552],2.6162,DE_BPSO with MLR,11,0.5034,0.6262,0.4773,1.2576,1.0121,0.6056
[2_ 43_ 54_ 67_ 69_ 97_ 100_ 117_ 132_ 153_ 175_ 301_ 316_ 393_ 483_ 522],3.7114,DE_BPSO with MLR,16,0.6488,0.6258,0.5264,1.197,0.9222,0.5915
[4_ 43_ 71_ 87_ 95_ 98_ 283_ 286_ 294_ 502_ 816],2.6972,DE_BPSO with MLR,11,0.6006,0.6229,0.5742,1.4046,1.1328,0.493
